Genome,Accession,Host Disease,Isolation Source,Group
GCA_000006765_1_ASM676v1_genomic,GCA_000006765.1,CF,CF sputum,CF
GCA_000014625_1_ASM1462v1_genomic,GCA_000014625.1,Burned,"Clinical, Unkown of human burn patient",Clinical
GCA_000017205_1_ASM1720v1_genomic,GCA_000017205.1,"Clinical, Unkown","non-respiratory Clinical, Unkown","Clinical, Unknown"
GCA_000026645_1_ASM2664v1_genomic,GCA_000026645.1,CF,CF isolate,CF
GCA_000168335_1_ASM16833v1_genomic,GCA_000168335.1,CF,Composite of two CF isolates,CF
GCA_000223945_2_ASM22394v2_genomic,GCA_000223945.2,missing,missing,Missing
GCA_000223965_2_ASM22396v2_genomic,GCA_000223965.2,missing,missing,Missing
GCA_000226155_1_ASM22615v1_genomic,GCA_000226155.1,N.A.,sweet mellon rhizosphere,Environmental
GCA_000271365_1_ASM27136v1_genomic,GCA_000271365.1,CF,CF isolate,CF
GCA_000271985_2_ASM27198v2_genomic,GCA_000271985.2,N.A.,soil,Environmental
GCA_000284555_1_ASM28455v1_genomic,GCA_000284555.1,urinary tract infection,urine,Clinical
GCA_000359505_1_ASM35950v1_genomic,GCA_000359505.1,"Clinical, Unknown",infant with community-acquired diarrhea,"Clinical, Unknown"
GCA_000414035_1_ASM41403v1_genomic,GCA_000414035.1,CF,CF isolate,CF
GCA_000473745_3_ASM47374v3_genomic,GCA_000473745.3,corneal keratitis,Corneal button from patient with corneal keratitis,Clinical
GCA_000496455_2_ASM49645v2_genomic,GCA_000496455.2,Assymptomatic carrier,Patient (nose),Clinical
GCA_000496605_2_ASM49660v2_genomic,GCA_000496605.2,respiratory tract infection,"Clinical, Unkown","Clinical, Unknown"
GCA_000496645_1_ASM49664v1_genomic,GCA_000496645.1,missing,missing,Missing
GCA_000504045_1_ASM50404v1_genomic,GCA_000504045.1,N.A.,t-HCH contaminated soil,Environmental
GCA_000508765_1_ASM50876v1_genomic,GCA_000508765.1,missing,missing,Missing
GCA_000510305_1_ASM51030v1_genomic,GCA_000510305.1,CF,CF isolate,CF
GCA_000524595_1_ASM52459v1_genomic,GCA_000524595.1,N.A.,compost,Environmental
GCA_000568855_2_ASM56885v2_genomic,GCA_000568855.2,missing,missing,Missing
GCA_000763245_3_ASM76324v3_genomic,GCA_000763245.3,"Clinical, Unkown",catheter tip,Clinical
GCA_000816985_1_ASM81698v1_genomic,GCA_000816985.1,cancer,pubic bone,Clinical
GCA_000829255_1_ASM82925v1_genomic,GCA_000829255.1,"Clinical, Unkown","Clinical, Unkown","Clinical, Unknown"
GCA_000829275_1_ASM82927v1_genomic,GCA_000829275.1,"Clinical, Unkown","Clinical, Unkown","Clinical, Unknown"
GCA_000829885_1_ASM82988v1_genomic,GCA_000829885.1,CF,CF isolate,CF
GCA_000981825_1_ASM98182v1_genomic,GCA_000981825.1,"Clinical, Unkown","Clinical, Unkown","Clinical, Unknown"
